Artist: Song,URL,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,YT_View_Count,YT_Like_Count,YT_Comment_Count,YT_Duration_Seconds,Exact_Publish_Date
Madonna: Like a Prayer,https://www.youtube.com/watch?v=b_rIk8yKDGI,5.0,8.0,8.0,7.0,5.0,1.0,8.0,4.0,1.0,9.0,10.0,10.0,8.0,2.0,9.0,4.0,5.0,10.0,9.0,6.0,6.0,6.0,9.0,4.0,6.0,2.0,6.0,7.0,7.0,9.0,7.0,10.0,6.0,18581530,208231,3522,343,2015-08-29
The Ronettes: Be My Little Baby,https://www.youtube.com/watch?v=jSPpbOGnFgk,5.0,7.0,7.0,5.0,7.0,2.0,6.0,6.0,4.0,8.0,9.0,6.0,6.0,4.0,8.0,7.0,5.0,8.0,4.0,5.0,4.0,8.0,9.0,8.0,7.0,6.0,8.0,7.0,7.0,8.0,5.0,1.0,5.0,60810548,654288,15842,163,2020-05-26
The Dixie Cups: Iko Iko,https://www.youtube.com/watch?v=KMrrp8kAmbc,2.0,5.0,7.0,7.0,8.0,3.0,3.0,2.0,6.0,4.0,8.0,8.0,1.0,9.0,5.0,3.0,5.0,7.0,2.0,7.0,8.0,7.0,2.0,7.0,4.0,7.0,4.0,5.0,6.0,3.0,4.0,7.0,4.0,649809,10521,0,126,2022-05-19
Nico: These Days,https://www.youtube.com/watch?v=0_z_UEuEMAo,4.0,6.0,4.0,5.0,5.0,3.0,3.0,7.0,4.0,3.0,4.0,7.0,2.0,3.0,5.0,7.0,4.0,3.0,3.0,6.0,2.0,3.0,3.0,5.0,3.0,6.0,6.0,5.0,2.0,5.0,5.0,3.0,4.0,3139851,22805,1294,214,2009-07-03
Al Green: Love and Happiness,https://www.youtube.com/watch?v=DKhxhuwZ-eA,6.0,7.0,7.0,6.0,9.0,2.0,1.0,8.0,5.0,5.0,4.0,9.0,4.0,7.0,5.0,3.0,5.0,9.0,4.0,7.0,5.0,8.0,7.0,4.0,5.0,8.0,7.0,5.0,7.0,5.0,3.0,10.0,5.0,5018197,88082,702,309,2017-05-01
Stevie Wonder / Cypress Hill / Run-DMC (mashup): My Superstitious Brain,https://www.youtube.com/watch?v=1rZ9cqSJgRM,8.0,8.0,9.0,7.0,8.0,2.0,4.0,9.0,5.0,7.0,4.0,5.0,7.0,10.0,7.0,4.0,3.0,9.0,5.0,8.0,4.0,7.0,4.0,3.0,4.0,10.0,8.0,5.0,8.0,6.0,8.0,10.0,1.0,4471402,67496,1734,241,2017-06-06
Bach: Cello Suite No. 1 in G,https://www.youtube.com/watch?v=1prweT95Mo0,7.0,4.0,10.0,9.0,8.0,9.0,9.0,4.0,9.0,10.0,10.0,9.0,8.0,8.0,9.0,9.0,9.0,9.0,8.0,6.0,9.0,7.0,10.0,2.0,8.0,6.0,9.0,8.0,2.0,7.0,9.0,10.0,9.0,24872236,371989,8912,196,2019-01-14
Dolly Parton: Jolene,https://www.youtube.com/watch?v=Ixrje2rXLMA,7.0,8.0,8.0,9.0,6.0,4.0,10.0,7.0,8.0,9.0,10.0,5.0,9.0,1.0,6.0,10.0,8.0,10.0,6.0,7.0,6.0,9.0,10.0,9.0,6.0,7.0,8.0,7.0,9.0,7.0,4.0,10.0,10.0,106353587,886617,27904,164,2017-06-27
Magdalena Bay: Cry for Me,https://www.youtube.com/watch?v=Xcq3xMCcGlI,4.0,9.0,5.0,6.0,4.0,1.0,3.0,6.0,5.0,4.0,1.0,2.0,5.0,4.0,6.0,5.0,4.0,5.0,2.0,7.0,4.0,3.0,9.0,3.0,2.0,6.0,2.0,4.0,5.0,3.0,3.0,6.0,1.0,684635,10925,889,308,2024-08-23
Sam the Sham and the Pharoahs: Little Red Riding Hood,https://www.youtube.com/watch?v=_FA85RO89HA,5.0,2.0,8.0,9.0,8.0,3.0,3.0,3.0,5.0,5.0,1.0,7.0,2.0,4.0,5.0,8.0,5.0,5.0,3.0,6.0,3.0,5.0,1.0,2.0,6.0,1.0,4.0,4.0,5.0,3.0,4.0,10.0,7.0,11330560,97746,4909,168,2008-06-18
