Artist: Song,URL,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32
The Dixie Cups: Iko Iko,https://www.youtube.com/watch?v=KMrrp8kAmbc,2.0,5.0,7.0,7.0,8.0,3.0,3.0,2.0,6.0,4.0,8.0,8.0,1.0,9.0,5.0,3.0,5.0,7.0,2.0,7.0,8.0,7.0,2.0,7.0,4.0,7.0,4.0,5.0,6.0,3.0,4.0,7.0,4.0
Nico: These Days,https://www.youtube.com/watch?v=0_z_UEuEMAo,4.0,6.0,4.0,5.0,5.0,3.0,3.0,7.0,4.0,3.0,4.0,7.0,2.0,3.0,5.0,7.0,4.0,3.0,3.0,6.0,2.0,3.0,3.0,5.0,3.0,6.0,6.0,5.0,2.0,5.0,5.0,3.0,4.0
Al Green: Love and Happiness,https://www.youtube.com/watch?v=DKhxhuwZ-eA,6.0,7.0,7.0,6.0,9.0,2.0,1.0,8.0,5.0,5.0,4.0,9.0,4.0,7.0,5.0,3.0,5.0,9.0,4.0,7.0,5.0,8.0,7.0,4.0,5.0,8.0,7.0,5.0,7.0,5.0,3.0,10.0,5.0
Stevie Wonder / Cypress Hill / Run-DMC (mashup): My Superstitious Brain,https://www.youtube.com/watch?v=1rZ9cqSJgRM,8.0,8.0,9.0,7.0,8.0,2.0,4.0,9.0,5.0,7.0,4.0,5.0,7.0,10.0,7.0,4.0,3.0,9.0,5.0,8.0,4.0,7.0,4.0,3.0,4.0,10.0,8.0,5.0,8.0,6.0,8.0,10.0,1.0
Bach: Cello Suite No. 1 in G,https://www.youtube.com/watch?v=1prweT95Mo0,7.0,4.0,10.0,9.0,8.0,9.0,9.0,4.0,9.0,10.0,10.0,9.0,8.0,8.0,9.0,9.0,9.0,9.0,8.0,6.0,9.0,7.0,10.0,2.0,8.0,6.0,9.0,8.0,2.0,7.0,9.0,10.0,9.0
Dolly Parton: Jolene,https://www.youtube.com/watch?v=Ixrje2rXLMA,7.0,8.0,8.0,9.0,6.0,4.0,10.0,7.0,8.0,9.0,10.0,5.0,9.0,1.0,6.0,10.0,8.0,10.0,6.0,7.0,6.0,9.0,10.0,9.0,6.0,7.0,8.0,7.0,9.0,7.0,4.0,10.0,10.0
Magdalena Bay: Cry for Me,https://www.youtube.com/watch?v=Xcq3xMCcGlI,4.0,9.0,5.0,6.0,4.0,1.0,3.0,6.0,5.0,4.0,1.0,2.0,5.0,4.0,6.0,5.0,4.0,5.0,2.0,7.0,4.0,3.0,9.0,3.0,2.0,6.0,2.0,4.0,5.0,3.0,3.0,6.0,1.0
Sam the Sham and the Pharoahs: Little Red Riding Hood,https://www.youtube.com/watch?v=_FA85RO89HA,5.0,2.0,8.0,9.0,8.0,3.0,3.0,3.0,5.0,5.0,1.0,7.0,2.0,4.0,5.0,8.0,5.0,5.0,3.0,6.0,3.0,5.0,1.0,2.0,6.0,1.0,4.0,4.0,5.0,3.0,4.0,10.0,7.0
Velvet Underground: Oh! Sweet Nuthin',https://www.youtube.com/watch?v=yhwSPRY51gs,6.0,7.0,6.0,5.0,6.0,4.0,4.0,5.0,8.0,5.0,4.0,7.0,6.0,6.0,6.0,4.0,5.0,6.0,2.0,6.0,5.0,5.0,7.0,6.0,4.0,6.0,6.0,4.0,4.0,5.0,5.0,4.0,4.0
Blondie: Call Me,https://www.youtube.com/watch?v=o3hHsVtqNFQ,5.0,10.0,6.0,8.0,6.0,2.0,7.0,8.0,6.0,8.0,6.0,6.0,9.0,4.0,8.0,3.0,6.0,9.0,5.0,6.0,5.0,7.0,9.0,5.0,6.0,7.0,7.0,7.0,7.0,7.0,9.0,6.0,5.0
